type,description,risk,recommendations
anxiety,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
